OID_,ZCTA5CE20,AFFGEOID20,GEOID20,NAME20,LSAD20,ALAND20,AWATER20,ORIG_FID,Latitude,Longitude
52,22580,860Z200US22580,22580,22580,Z5,245673075.000000000000000,2204493.000000000000000,52,38.109410394773931,-77.444204922319273
53,24165,860Z200US24165,24165,24165,Z5,105706883.000000000000000,5694.000000000000000,53,36.583667844695356,-80.053180146646412
54,22044,860Z200US22044,22044,22044,Z5,5547825.000000000000000,233185.000000000000000,54,38.859575576251871,-77.156271952388636
55,23160,860Z200US23160,23160,23160,Z5,4477028.000000000000000,59335.000000000000000,55,37.627566599019360,-77.840275243907342
56,24327,860Z200US24327,24327,24327,Z5,729642.000000000000000,0.000000000000000,56,36.773571760928064,-81.829708156905895
57,24112,860Z200US24112,24112,24112,Z5,391849428.000000000000000,2331592.000000000000000,57,36.723785634199714,-79.849211307555777
58,23430,860Z200US23430,23430,23430,Z5,269654583.000000000000000,70829280.000000000000000,58,36.986165893441296,-76.663386248176778
59,23821,860Z200US23821,23821,23821,Z5,174557695.000000000000000,259101.000000000000000,59,36.876007399122216,-77.917938920544714
60,23868,860Z200US23868,23868,23868,Z5,311978208.000000000000000,427036.000000000000000,60,36.709900425564228,-77.803801749950765
61,24318,860Z200US24318,24318,24318,Z5,185925828.000000000000000,182105.000000000000000,61,37.000472331033279,-81.386578577139574
62,22305,860Z200US22305,22305,22305,Z5,3448858.000000000000000,97849.000000000000000,62,38.836548074633981,-77.062340897014735
63,22213,860Z200US22213,22213,22213,Z5,1532358.000000000000000,0.000000000000000,63,38.894590265528393,-77.162386163290762
64,24614,860Z200US24614,24614,24614,Z5,342591538.000000000000000,825008.000000000000000,64,37.314647622589746,-82.071822114698818
65,22923,860Z200US22923,22923,22923,Z5,122754553.000000000000000,477698.000000000000000,65,38.186698986668944,-78.324056447347118
66,23423,860Z200US23423,23423,23423,Z5,37799179.000000000000000,45098641.000000000000000,66,37.523610302573445,-75.739692274278980
67,23507,860Z200US23507,23507,23507,Z5,2350970.000000000000000,283130.000000000000000,67,36.864456508561091,-76.302152498838723
68,22472,860Z200US22472,22472,22472,Z5,663678.000000000000000,0.000000000000000,68,37.959015231168053,-76.672571787757761
69,24502,860Z200US24502,24502,24502,Z5,77448979.000000000000000,552091.000000000000000,69,37.356215242639394,-79.219408319338413
70,23002,860Z200US23002,23002,23002,Z5,663334187.000000000000000,5114767.000000000000000,70,37.349166648721905,-77.963570333204302
71,24230,860Z200US24230,24230,24230,Z5,321464460.000000000000000,1233594.000000000000000,71,36.969293109089790,-82.454496270886182
72,23089,860Z200US23089,23089,23089,Z5,156696379.000000000000000,19716657.000000000000000,72,37.475948617334893,-76.912132402987993
73,22835,860Z200US22835,22835,22835,Z5,387449567.000000000000000,5754178.000000000000000,73,38.671993633999080,-78.454801596916127
74,24540,860Z200US24540,24540,24540,Z5,194340159.000000000000000,1104886.000000000000000,74,36.642355511397795,-79.424730979850779
75,20818,860Z200US20818,20818,20818,Z5,2404004.000000000000000,1085991.000000000000000,75,38.973478434782010,-77.161822943973675
76,24340,860Z200US24340,24340,24340,Z5,172411907.000000000000000,665056.000000000000000,76,36.752662953232743,-81.758893398611406
77,24343,860Z200US24343,24343,24343,Z5,326386297.000000000000000,1121622.000000000000000,77,36.766112278458934,-80.700435641091929
78,24354,860Z200US24354,24354,24354,Z5,309930053.000000000000000,1097531.000000000000000,78,36.821583936249738,-81.540024397607851
79,23188,860Z200US23188,23188,23188,Z5,251900394.000000000000000,42369172.000000000000000,79,37.338480922156862,-76.749244414198301
80,23942,860Z200US23942,23942,23942,Z5,160356867.000000000000000,302404.000000000000000,80,37.132410953802548,-78.301386220297786
81,24361,860Z200US24361,24361,24361,Z5,141359264.000000000000000,946001.000000000000000,81,36.766707763652448,-81.845519198052500
82,24368,860Z200US24368,24368,24368,Z5,224389100.000000000000000,515483.000000000000000,82,36.892835955714816,-81.300031359559569
83,24381,860Z200US24381,24381,24381,Z5,131584537.000000000000000,688955.000000000000000,83,36.724535425969179,-80.839242046383276
84,23947,860Z200US23947,23947,23947,Z5,375464796.000000000000000,715301.000000000000000,84,37.022646893139665,-78.442842500480992
85,23970,860Z200US23970,23970,23970,Z5,314780084.000000000000000,1017777.000000000000000,85,36.748175249887936,-78.186368394885505
86,24401,860Z200US24401,24401,24401,Z5,342925737.000000000000000,1514470.000000000000000,86,38.132561732138299,-79.088467754283386
87,24416,860Z200US24416,24416,24416,Z5,159843102.000000000000000,1276364.000000000000000,87,37.728923802591453,-79.355340017427807
88,23229,860Z200US23229,23229,23229,Z5,36280592.000000000000000,1161672.000000000000000,88,37.587848999531730,-77.569734114637640
89,23974,860Z200US23974,23974,23974,Z5,229077146.000000000000000,455052.000000000000000,89,36.973230995713948,-78.245494543138591
90,24011,860Z200US24011,24011,24011,Z5,427964.000000000000000,909.000000000000000,90,37.270459505801625,-79.941011928357796
91,24457,860Z200US24457,24457,24457,Z5,3001414.000000000000000,88066.000000000000000,91,37.793785460830406,-79.870125057025746
92,24460,860Z200US24460,24460,24460,Z5,649163332.000000000000000,3668415.000000000000000,92,38.022374078201210,-79.650476899589194
93,24465,860Z200US24465,24465,24465,Z5,493302579.000000000000000,954274.000000000000000,93,38.396113524719453,-79.646364673091171
94,24472,860Z200US24472,24472,24472,Z5,184032772.000000000000000,240970.000000000000000,94,37.938329431957754,-79.221936111262494
95,23304,860Z200US23304,23304,23304,Z5,471838.000000000000000,206434.000000000000000,95,36.995892946302490,-76.569928010469255
96,23308,860Z200US23308,23308,23308,Z5,91262192.000000000000000,29331174.000000000000000,96,37.824308788319968,-75.617734904941869
97,23891,860Z200US23891,23891,23891,Z5,2158492.000000000000000,0.000000000000000,97,37.047518845818104,-77.203674418839341
98,24020,860Z200US24020,24020,24020,Z5,920647.000000000000000,567.000000000000000,98,37.357390896672598,-79.942787860970952
99,23310,860Z200US23310,23310,23310,Z5,168678627.000000000000000,37573059.000000000000000,99,37.264063236928905,-75.956762351501254
100,23324,860Z200US23324,23324,23324,Z5,17235880.000000000000000,1845742.000000000000000,100,36.799957396716536,-76.275171441708608
101,23909,860Z200US23909,23909,23909,Z5,245978.000000000000000,0.000000000000000,101,37.298914207324856,-78.396351913310127
102,23921,860Z200US23921,23921,23921,Z5,211268210.000000000000000,1408514.000000000000000,102,37.591437524722039,-78.614135702400688
103,24055,860Z200US24055,24055,24055,Z5,224330509.000000000000000,5749801.000000000000000,103,36.763319712634654,-79.997413953690966
104,24065,860Z200US24065,24065,24065,Z5,211888618.000000000000000,313688.000000000000000,104,37.118133072383444,-79.964533927598666
105,24066,860Z200US24066,24066,24066,Z5,407654306.000000000000000,2965607.000000000000000,105,37.538199178549291,-79.678226038001242
106,24484,860Z200US24484,24484,24484,Z5,459728127.000000000000000,9891930.000000000000000,106,38.144812665771951,-79.820116274346560
107,24501,860Z200US24501,24501,24501,Z5,94100679.000000000000000,400425.000000000000000,107,37.355633830037277,-79.156104327352807
108,24504,860Z200US24504,24504,24504,Z5,97167786.000000000000000,1905500.000000000000000,108,37.366758750416068,-79.049545392006223
109,24522,860Z200US24522,24522,24522,Z5,517893095.000000000000000,1186872.000000000000000,109,37.373237525791239,-78.785914683016188
110,23401,860Z200US23401,23401,23401,Z5,5554702.000000000000000,0.000000000000000,110,37.627757181548759,-75.778426730409251
111,22602,860Z200US22602,22602,22602,Z5,293863419.000000000000000,1768097.000000000000000,111,39.150797233805349,-78.265545731250484
112,22603,860Z200US22603,22603,22603,Z5,255261428.000000000000000,915390.000000000000000,112,39.281523990439837,-78.205604729774393
113,22623,860Z200US22623,22623,22623,Z5,3105119.000000000000000,877.000000000000000,113,38.851571535398080,-78.137333486251350
114,24073,860Z200US24073,24073,24073,Z5,232109081.000000000000000,640832.000000000000000,114,37.130537203729034,-80.422512411518539
115,24556,860Z200US24556,24556,24556,Z5,102579179.000000000000000,427505.000000000000000,115,37.380954139721837,-79.402106847552943
116,24572,860Z200US24572,24572,24572,Z5,171765144.000000000000000,4697222.000000000000000,116,37.465144299869621,-79.096269177880231
117,24577,860Z200US24577,24577,24577,Z5,485041711.000000000000000,2623478.000000000000000,117,36.937618697045309,-78.975527914081908
118,24581,860Z200US24581,24581,24581,Z5,8462647.000000000000000,2930.000000000000000,118,37.656924633565040,-78.809802503982326
119,23433,860Z200US23433,23433,23433,Z5,4440929.000000000000000,15376294.000000000000000,119,36.907626218675091,-76.491832235669108
120,23441,860Z200US23441,23441,23441,Z5,519586.000000000000000,0.000000000000000,120,37.712076953788426,-75.699428629827366
121,22630,860Z200US22630,22630,22630,Z5,315761389.000000000000000,5561396.000000000000000,121,38.929079542986585,-78.180524524687030
122,24091,860Z200US24091,24091,24091,Z5,443160148.000000000000000,1340920.000000000000000,122,36.921305535622025,-80.322633387620726
123,24092,860Z200US24092,24092,24092,Z5,95783253.000000000000000,1179699.000000000000000,123,37.001582524314074,-79.763058215164449
124,22646,860Z200US22646,22646,22646,Z5,2606595.000000000000000,2124.000000000000000,124,39.070190709233884,-78.048028695467906
125,24121,860Z200US24121,24121,24121,Z5,237804511.000000000000000,26406071.000000000000000,125,37.170889784835765,-79.641407277224005
126,24127,860Z200US24127,24127,24127,Z5,568806089.000000000000000,2107733.000000000000000,126,37.479488769790919,-80.194676184957927
127,24523,860Z200US24523,24523,24523,Z5,595531281.000000000000000,1922988.000000000000000,127,37.336397332371064,-79.523461555106621
128,24531,860Z200US24531,24531,24531,Z5,509981040.000000000000000,3353120.000000000000000,128,36.839212324689072,-79.443298681389024
129,24536,860Z200US24536,24536,24536,Z5,24487833.000000000000000,316315.000000000000000,129,37.489961551284637,-79.320971944299743
130,24551,860Z200US24551,24551,24551,Z5,192116028.000000000000000,874898.000000000000000,130,37.366556254567570,-79.326799530473920
131,24553,860Z200US24553,24553,24553,Z5,352782569.000000000000000,6204586.000000000000000,131,37.548455259402772,-78.819061368887049
132,24554,860Z200US24554,24554,24554,Z5,325258091.000000000000000,1715486.000000000000000,132,37.136746712191041,-79.066387377275589
133,23461,860Z200US23461,23461,23461,Z5,3257710.000000000000000,650409.000000000000000,133,36.772438476654429,-75.961735336216748
134,23486,860Z200US23486,23486,23486,Z5,911101.000000000000000,294871.000000000000000,134,37.517744401682819,-75.808238223814953
135,23503,860Z200US23503,23503,23503,Z5,13068162.000000000000000,6809432.000000000000000,135,36.947123227055329,-76.261948121508567
136,22729,860Z200US22729,22729,22729,Z5,26486354.000000000000000,91657.000000000000000,136,38.356575885868494,-78.015961696075351
137,24137,860Z200US24137,24137,24137,Z5,185302972.000000000000000,11803153.000000000000000,137,36.925886307107419,-79.654532350987154
138,24609,860Z200US24609,24609,24609,Z5,217029384.000000000000000,1658540.000000000000000,138,37.029532227730158,-81.795020213811767
139,24620,860Z200US24620,24620,24620,Z5,184649669.000000000000000,215419.000000000000000,139,37.433346562893632,-82.019312915458670
140,24631,860Z200US24631,24631,24631,Z5,138497376.000000000000000,680745.000000000000000,140,37.220197307659646,-81.997126238584997
141,24635,860Z200US24635,24635,24635,Z5,17338716.000000000000000,76232.000000000000000,141,37.306831021134769,-81.349619890845247
142,24639,860Z200US24639,24639,24639,Z5,124347845.000000000000000,174233.000000000000000,142,37.173575515697564,-81.904616870172390
143,22802,860Z200US22802,22802,22802,Z5,235629522.000000000000000,504899.000000000000000,143,38.500170489476545,-78.858514818603965
144,23015,860Z200US23015,23015,23015,Z5,225840060.000000000000000,1495368.000000000000000,144,37.931279954906074,-77.631252588136419
145,23024,860Z200US23024,23024,23024,Z5,279181498.000000000000000,27144432.000000000000000,145,37.924482067693305,-77.775540841536554
146,23047,860Z200US23047,23047,23047,Z5,111558992.000000000000000,1603815.000000000000000,146,37.847647681994999,-77.489748362396995
147,22824,860Z200US22824,22824,22824,Z5,221404260.000000000000000,1665042.000000000000000,147,38.847434064930212,-78.627805898423446
148,22827,860Z200US22827,22827,22827,Z5,411414122.000000000000000,2422692.000000000000000,148,38.390301899712938,-78.613099795818869
149,22830,860Z200US22830,22830,22830,Z5,302968815.000000000000000,748201.000000000000000,149,38.657890729173857,-78.979018201828524
150,24171,860Z200US24171,24171,24171,Z5,515719128.000000000000000,623577.000000000000000,150,36.670951845351453,-80.238359462818892
151,24184,860Z200US24184,24184,24184,Z5,107157832.000000000000000,5953040.000000000000000,151,37.088103034727339,-79.776419652345055
152,24201,860Z200US24201,24201,24201,Z5,26187589.000000000000000,107006.000000000000000,152,36.610605364745822,-82.169644031147072
153,23063,860Z200US23063,23063,23063,Z5,265568322.000000000000000,10631401.000000000000000,153,37.716942722228907,-77.998821354421921
154,23663,860Z200US23663,23663,23663,Z5,7279323.000000000000000,7516008.000000000000000,154,37.032514982180714,-76.315807673485324
155,23665,860Z200US23665,23665,23665,Z5,12724109.000000000000000,5463477.000000000000000,155,37.089613661041653,-76.362996122872744
156,22845,860Z200US22845,22845,22845,Z5,17254875.000000000000000,13613.000000000000000,156,38.779910649956605,-78.837504787715716
157,24219,860Z200US24219,24219,24219,Z5,188426746.000000000000000,1066046.000000000000000,157,36.848304199878953,-82.746447632951856
158,23069,860Z200US23069,23069,23069,Z5,179062129.000000000000000,3017267.000000000000000,158,37.769245014445914,-77.328749383377328
159,23076,860Z200US23076,23076,23076,Z5,7485115.000000000000000,4191334.000000000000000,159,37.473162229853074,-76.304960078844545
160,23086,860Z200US23086,23086,23086,Z5,214178459.000000000000000,7874829.000000000000000,160,37.662957621297210,-77.053937568863660
161,23092,860Z200US23092,23092,23092,Z5,14929113.000000000000000,6685564.000000000000000,161,37.594024111623526,-76.507554116229414
162,22901,860Z200US22901,22901,22901,Z5,135114964.000000000000000,2183031.000000000000000,162,38.088744229562622,-78.555681872020727
163,22903,860Z200US22903,22903,22903,Z5,178718209.000000000000000,1066607.000000000000000,163,38.012393423717583,-78.601601252096089
164,22904,860Z200US22904,22904,22904,Z5,675798.000000000000000,2642.000000000000000,164,38.034922741391426,-78.511623035474656
165,24224,860Z200US24224,24224,24224,Z5,272833714.000000000000000,1590384.000000000000000,165,36.860586460496791,-82.283224762412829
166,24225,860Z200US24225,24225,24225,Z5,156935650.000000000000000,1318666.000000000000000,166,36.975429517957934,-82.141146155870331
167,24239,860Z200US24239,24239,24239,Z5,6780491.000000000000000,1979.000000000000000,167,37.113600180803758,-82.145765707021724
168,24245,860Z200US24245,24245,24245,Z5,148898856.000000000000000,1093769.000000000000000,168,36.840453271301499,-82.515964372457802
169,23708,860Z200US23708,23708,23708,Z5,447907.000000000000000,638420.000000000000000,169,36.846419645350409,-76.306182795299719
170,23709,860Z200US23709,23709,23709,Z5,1628812.000000000000000,533079.000000000000000,170,36.816845415583487,-76.298457805982935
171,22922,860Z200US22922,22922,22922,Z5,120364178.000000000000000,859557.000000000000000,171,37.686206489238145,-78.925113282651807
172,22932,860Z200US22932,22932,22932,Z5,262948257.000000000000000,851091.000000000000000,172,38.150375942995424,-78.697434002177431
173,22942,860Z200US22942,22942,22942,Z5,304814963.000000000000000,2266290.000000000000000,173,38.103967935172136,-78.196840411056087
174,24266,860Z200US24266,24266,24266,Z5,325950104.000000000000000,741435.000000000000000,174,36.867101260015204,-82.105231158890831
175,23119,860Z200US23119,23119,23119,Z5,5805390.000000000000000,4785080.000000000000000,175,37.451385839884665,-76.279779816085579
176,23824,860Z200US23824,23824,23824,Z5,510269994.000000000000000,3935126.000000000000000,176,37.087665433612926,-77.957490141856510
177,22960,860Z200US22960,22960,22960,Z5,315625468.000000000000000,5400223.000000000000000,177,38.219923439615116,-78.066263788143260
178,22963,860Z200US22963,22963,22963,Z5,322874437.000000000000000,4740998.000000000000000,178,37.847929920729314,-78.285239193334064
179,22973,860Z200US22973,22973,22973,Z5,267812790.000000000000000,777970.000000000000000,179,38.335884216783256,-78.469150120081963
180,23139,860Z200US23139,23139,23139,Z5,622866121.000000000000000,4934071.000000000000000,180,37.549990860789649,-77.935068072833246
181,23148,860Z200US23148,23148,23148,Z5,150968372.000000000000000,1250783.000000000000000,181,37.842622909819511,-77.062226866576566
182,22473,860Z200US22473,22473,22473,Z5,296314846.000000000000000,24443184.000000000000000,182,37.883177460671334,-76.413873374556545
183,22546,860Z200US22546,22546,22546,Z5,424347081.000000000000000,5270110.000000000000000,183,37.943419842951471,-77.445649586059517
184,22553,860Z200US22553,22553,22553,Z5,112860883.000000000000000,3509671.000000000000000,184,38.265934986710306,-77.639710661617698
185,22407,860Z200US22407,22407,22407,Z5,158012303.000000000000000,3425502.000000000000000,185,38.285800003467443,-77.580545632974520
186,22427,860Z200US22427,22427,22427,Z5,273794984.000000000000000,3623615.000000000000000,186,38.071775352650434,-77.286234693576205
187,22520,860Z200US22520,22520,22520,Z5,249907314.000000000000000,30933184.000000000000000,187,38.116509704159569,-76.806324597602043
188,22560,860Z200US22560,22560,22560,Z5,256698388.000000000000000,20330204.000000000000000,188,37.912895574771028,-76.961963951774919
189,22438,860Z200US22438,22438,22438,Z5,106513027.000000000000000,19167414.000000000000000,189,38.038425056671088,-77.003439289691414
190,22151,860Z200US22151,22151,22151,Z5,13175684.000000000000000,414901.000000000000000,190,38.802831349886958,-77.209600773956538
191,20170,860Z200US20170,20170,20170,Z5,22675941.000000000000000,96968.000000000000000,191,38.980753356582170,-77.380405515402174
192,20181,860Z200US20181,20181,20181,Z5,201765193.000000000000000,2480513.000000000000000,192,38.666846316604278,-77.553731751718942
193,24151,860Z200US24151,24151,24151,Z5,428378800.000000000000000,3287503.000000000000000,193,36.958261188503116,-79.864556310125579
194,24210,860Z200US24210,24210,24210,Z5,373233044.000000000000000,1237430.000000000000000,194,36.772308549799789,-82.022448640092648
195,23841,860Z200US23841,23841,23841,Z5,195776671.000000000000000,742214.000000000000000,195,37.054207098478855,-77.553046627499839
196,24141,860Z200US24141,24141,24141,Z5,169830733.000000000000000,9314433.000000000000000,196,37.101033183134973,-80.566770578998955
197,23950,860Z200US23950,23950,23950,Z5,172221470.000000000000000,358934.000000000000000,197,36.660039105620285,-78.076995194872325
198,20115,860Z200US20115,20115,20115,Z5,255438964.000000000000000,1113989.000000000000000,198,38.821372614954271,-77.897641912644133
199,22211,860Z200US22211,22211,22211,Z5,2787707.000000000000000,0.000000000000000,199,38.880110852334042,-77.074821184749851
200,24487,860Z200US24487,24487,24487,Z5,236120635.000000000000000,315344.000000000000000,200,38.200999425782925,-79.581050536253201
201,23021,860Z200US23021,23021,23021,Z5,3616308.000000000000000,0.000000000000000,201,37.401018092810773,-76.371865732417575
202,24067,860Z200US24067,24067,24067,Z5,161364889.000000000000000,195243.000000000000000,202,37.037364062801316,-80.068834015077698
203,23924,860Z200US23924,23924,23924,Z5,366289928.000000000000000,437136.000000000000000,203,36.809186167607606,-78.433964062291579
204,24485,860Z200US24485,24485,24485,Z5,219570101.000000000000000,380341.000000000000000,204,38.275211370408442,-79.331648798153481
205,24319,860Z200US24319,24319,24319,Z5,161621355.000000000000000,443593.000000000000000,205,36.760476202914504,-81.657783222617581
206,22027,860Z200US22027,22027,22027,Z5,1650225.000000000000000,200.000000000000000,206,38.894109894456108,-77.221587433713069
207,23414,860Z200US23414,23414,23414,Z5,834234.000000000000000,0.000000000000000,207,37.813748652078687,-75.586882344644437
208,22576,860Z200US22576,22576,22576,Z5,31966964.000000000000000,15714785.000000000000000,208,37.693979101254570,-76.432773753306037
209,24202,860Z200US24202,24202,24202,Z5,333671592.000000000000000,648533.000000000000000,209,36.659040565869475,-82.215644367293692
210,23847,860Z200US23847,23847,23847,Z5,712533195.000000000000000,3852671.000000000000000,210,36.667992191786254,-77.549718600832705
211,23851,860Z200US23851,23851,23851,Z5,281530595.000000000000000,5255039.000000000000000,211,36.652086759596330,-76.957765752787225
212,23920,860Z200US23920,23920,23920,Z5,330621798.000000000000000,112932.000000000000000,212,36.724524140376843,-77.972671772684123
213,23009,860Z200US23009,23009,23009,Z5,210230990.000000000000000,2279712.000000000000000,213,37.810382284614775,-77.187174793781651
214,23881,860Z200US23881,23881,23881,Z5,281016507.000000000000000,45827367.000000000000000,214,37.191697121125287,-76.985869006449434
215,23901,860Z200US23901,23901,23901,Z5,500342573.000000000000000,7389417.000000000000000,215,37.323087706032879,-78.411869414841590
216,24060,860Z200US24060,24060,24060,Z5,338829409.000000000000000,2316384.000000000000000,216,37.257720195330819,-80.419613678028782
217,20132,860Z200US20132,20132,20132,Z5,219019898.000000000000000,1767099.000000000000000,217,39.166481713360440,-77.727469633816497
218,23005,860Z200US23005,23005,23005,Z5,179440541.000000000000000,1476158.000000000000000,218,37.759804270650648,-77.482589067331560
219,20842,860Z200US20842,20842,20842,Z5,144135248.000000000000000,6297170.000000000000000,219,39.208309039630535,-77.424731966806803
220,24314,860Z200US24314,24314,24314,Z5,249566759.000000000000000,785826.000000000000000,220,37.171660906725492,-81.207277818016848
221,23927,860Z200US23927,23927,23927,Z5,186802823.000000000000000,53993328.000000000000000,221,36.608986055362209,-78.512591777988121
222,23040,860Z200US23040,23040,23040,Z5,383708332.000000000000000,2165977.000000000000000,222,37.510173368206438,-78.249187620811995
223,24605,860Z200US24605,24605,24605,Z5,127039043.000000000000000,76294.000000000000000,223,37.240935275642528,-81.361225234456981
224,24348,860Z200US24348,24348,24348,Z5,263886661.000000000000000,2412917.000000000000000,224,36.638973266403184,-81.173912107657600
225,23884,860Z200US23884,23884,23884,Z5,966485.000000000000000,0.000000000000000,225,36.917327809930555,-77.280111556902796
